id,title,eligibleBusinessLocation,applicationCost,applicationDeadline,avgApplicationTime,benefitDescription,agencyContactName,agencyContactEmail,agencyContactPhone,minimumYearsInBusiness,eligibleEntityTypes,currentEmployeesRequired,annualRevenue,eligibleIndustries,gender,additionalDemographics,additionalGeneralInformation,investingOwnMoney,moneyInvested,createdAt,updatedAt,purpose,age,benefitType,creatorId,agencyId
28,Nuevo Empresario,{anywhere_in_pr},25,2040-12-11 16:00:00-08,90 días,"Aportación mínima: 

•10% del costo total del proyecto.



Tasa de interés anual: 

•6.50% - 10.75%

Tasa de interés será calculada a base de análisis de riesgo y crédito. La misma podrá ser fija o fluctuante. De ser fluctuante podrá variar con los cambios de la tasa de interés preferente (prime rate). 

Descuento: 


•Descuento de 1% de la tasa de interés antes mencionada.



Cargo por compromiso:  
•1.25% del total del financiamiento.



Descuento: 

•0.50% en el cargo por compromiso antes mencionado.



Cargo por manejo: 

•0.25% del total del financiamiento.",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,"{for_profit,sole_proprietor}",{any},{any},{any},any,{any},Producto creado para promover el establecimiento de nuevas empresas.,,10%,2014-07-07 11:21:01.838-07,2014-09-05 12:46:02.252-07,{anything},{0},{loan},6,3
108,Manufactura de Ropa y Productos Análogos,{anywhere_in_pr},0,2020-12-30 16:00:00-08,5 a 30 días laborables,Programa e Incentivos Económicos Especiales para la Industria Puertorriqueña de Manufactura de Ropa y Productos Análogos,Zenaida Solis,zenaida.solis@pridco.pr.gov,(787) 758-4747,3,{for_profit},{6_25},{any},{31-33},any,{any},Empresa tiene que ser promovida por la Compañía de Fomento Industrial de Puerto Rico. Ley Núm. 8 del 2 de cotubre de 1986,true,variable,2014-09-11 09:06:13.919-07,2014-10-07 11:14:49.306-07,"{other,materiaprimaadquisicinymejorasedificiomaquinariayequiposarrendamientoasistenciatcnicanminaenproduccinmercadeoypromocininteresesdeprstamos}",{0},{incentive},17,57
118,Juventud Empresarial ,{anywhere_in_pr},0,2015-06-29 17:00:00-07,30-180 días,"Conscientes de los retos a los que se enfrentan estos emprendedores, la Oficina de Asuntos de la Juventud creó el Programa de MicroEmpresas, que le ofrece capacitación, financiamiento y consultoría a jóvenes entre 21 a 29 años que les interesa iniciar una empresa o expandir la existente.

A través de un selecto grupo de consultores el Programa brinda adiestramientos sobre cómo desarrollar su empresa y cómo presentar un Plan de Negocio, a demás brinda la oportunidad de obtener un financiamiento con el Banco de Desarrollo Económico para Puerto Rico, desde $500, hasta $10,000, garantizados por la Oficina de Asuntos de la Juventud, para ser utilizados en:  Compra de equipo y maquinaria, capital de operaciones y mejoras.",Luis C. Cruz Garcia,lcruz@oaj.pr.gov,787.725.8920,0,{any},{none},{0_99999},{any},any,{any},"Tener entre 21 a 29 años de edad. Participante del Programa de Microempresas de OAJ  y cumplir con otros documentos y requisitos solicitados por el Banco.

Para más información accede a: http://oaj.pr.gov",false,"",2014-09-11 14:42:48.426-07,2014-09-11 14:43:20.682-07,"{open_location,working_capital,buy_equipment,start_business,improve_commercial_property}","{1,2}","{expertise,other}",12,106
32,Proyectos Ecoturísticos,{anywhere_in_pr},0,2040-12-30 16:00:00-08,90 días,"Cantidad máxima: 

•Hasta $100,000

Aportación mínima requerida: 
•$0.00

Uso de fondos:
•Capital de operaciones hasta 5 años.
•Compra de maquinaria y equipo hasta 7 años.
•Mejoras permanentes hasta 10 años.
•Compra o construcción de propiedad inmueble hasta 30 años.

Tasa de interés anual: 
•5.75% fijo por los primeros 3 años (actual)*
* La tasa de interés se fijará al 2.50% sobre la tasa de interés preferente (prime rate) prevaleciente a la fecha del cierre.",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,"{for_profit,sole_proprietor}",{any},{any},"{other,tourism}",any,{any},Producto para identificar y desarrollar nuevas atracciones eco-turísticas para explotar nuestra belleza escénica que es parte de nuestro capital natural.,,"",2014-07-07 12:05:12.389-07,2014-09-08 07:14:31.056-07,{anything},{0},"{incentive,loan}",6,3
21,Alianza - Programa de Crédito Social del Departamento de Estado y el BDEPR ,{anywhere_in_pr},25,2041-12-30 16:00:00-08,90 días,"Cantidad máxima: 

•El principal no excederá la suma de $25,000 por ONG o hasta un 80% de la propuesta, asignación o donativo aprobado para la ONG, lo que sea menor.

Fondos provistos por:	

•El Banco de Desarrollo Económico para Puerto Rico.


Garantía: 

•Fondo de Garantía del Departamento de Estado cubriendo el 100% de la facilidad crediticia.

Uso de fondos:	

•Adquisición de maquinaria y equipo necesario para la operación de la ONG.
•Capital de operaciones.

Aportación mínima requerida: 
•$0.00

Tasa de interés anual: 

•4.25% (actual)*.
*El interés se fijará al 1% sobre la tasa de interés preferente (prime rate) prevaleciente a la fecha del cierre.

Vencimiento:	

•Un (1) año o hasta que se reciba el dinero producto de la propuesta, asignación o donativo aprobado para la ONG, lo que sea menor.

Cargo inicial:
•$25

Cargo por demora:
•$0.00

Cargo por manejo:
•$0.00 

Cargo por compromiso:
•$0.00 ",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,{non_profit},{any},{any},{any},any,{any},"El Departamento de Estado, en coordinación con el BDEPR, ha configurado un programa dirigido a convertirse en la mano amiga de las Organizaciones No Gubernamentales (ONG). El mismo parte de fortalecer el llamado tercer sector, conectándolo con el gobierno y facilitando su acceso a recursos de formación, manejo de conflictos y el desarrollo de política pública. Como parte de dicha encomienda se pretende promover un Crédito Social a las ONG.",,"",2014-07-03 12:31:43.966-07,2014-09-09 11:39:03.966-07,{anything},{0},{loan},6,3
3,Turismo,{municipality_in_pr},150,2040-12-30 16:00:00-08,30 días,Crédito comercial,Jorge Martí,jmarti@bde.pr.gov,(787) 641-4300,3,{for_profit},{26_50},{100000_499999},{tourism},male,{any},No.,false,"",2014-07-02 11:05:00.846-07,2014-07-28 15:40:21.32-07,{_construccin_de_parador},{3},{loan},6,3
26,Contratistas Federales o Estatales,{anywhere_in_pr},25,2040-12-30 16:00:00-08,90 días,"Tasa de interés anual: 

•6.50% - 10.75%
Tasa de interés será calculada a base de análisis de riesgo y crédito. La misma podrá ser fija o fluctuante. De ser fluctuante podrá variar con los cambios de la tasa de interés preferente (prime rate). 

Términos

•	Línea de Crédito a renovar annual
Cantidad máxima: 

•Hasta  $10,000,000

Aportación mínima requerida: 

•0% - 20% del capital de operaciones.

Por ciento a financiar: 

•Capital de operaciones – se financiará entre un 80% a 100%.
",Jorge Martí,jmarti@bde.pr.gov,7876414300,0,{for_profit},{any},{any},{any},any,{any},Proveer una línea de crédito a empresas establecidas que estén participando como contratistas en las subastas de programas federales o estatales.,,"",2014-07-03 15:33:26.736-07,2014-09-05 12:48:10.659-07,{working_capital},{0},{loan},6,3
109,Preferencia Local en Compra del Gobierno del Esdado Libre Asociado de Puerto Rico,{anywhere_in_pr},0,2020-12-30 16:00:00-08,5 a 30 días laborables,Oportunidad para vender productos y servicios Gobierno del Esdado Libre Asociado de Puerto Rico,Zenaida Solis,zenaida.solis@pridco.pr.gov,(787) 758-4747,0,{for_profit},{6_25},{any},"{31-33,other}",any,{any},Empresa tiene que ser promovida por la Compañía de Fomento Industrial de Puerto Rico.,true,variable,2014-09-11 09:11:58.041-07,2014-09-11 09:59:01.086-07,"{other,ventadeproductosyserviciosalgobiernodelesdadolibreasociadodepuertorico}",{0},{incentive},17,57
51,Franquicias Exportables,{anywhere_in_pr},0,2050-06-29 17:00:00-07,30 dias,"Usos de los fondos del incentivo económico

El incentivo otorgado podrá ser utilizado para los gastos relacionados al propósito de desarrollar y ejecutar el plan de negocios de modelo de franquicias, tales como:

gastos legales y financieros,
participación en misiones comerciales,
promoción y mercadeo,
módulo operacional,
otros gastos estrictamente relacionados al modelo de negocio a ser desarrollado.


Ventajas de operar en un modelo de franquicias



rápida expansión del negocio
beneficios de una marca reconocida
rápido posicionamiento en el mercado
modelo de economía de escalas
disminución en los costos relacionados al negocio
mejor distribución de productos y servicios
disminución de riesgo financiero y rentabilidad a largo plazo, entre otros.",Primer Peso,primerpeso@cce.pr.gov,787 294-0101,0,"{for_profit,sole_proprietor,cooperative}",{any},{any},{any},any,"{any,veteran,minority}","Se otorgará un incentivo económico de hasta un máximo de $20,000.
",true,"",2014-07-29 12:13:23.822-07,2014-11-26 12:24:05.384-08,{open_franchise},{0},{incentive},7,7
47,"Certificación de PYMES para Programa de Reservas de Compras ""Set Aside""",{anywhere_in_pr},0,2050-06-29 17:00:00-07,30 a 60 dias,"Beneficios

Estimula y aumenta las ventas de las pequeñas y medianas empresas (PYMES) puertorriqueña, fomentando de esta forma la creación de nuevos empleos.

Establece un proceso uniforme y estructurado de la distribución del presupuesto de compras de las agencias del Gobierno de Puerto Rico.

Facilita la ejecución, el cumplimiento y la fiscalización del Programa con un mayor grado de eficacia.",Primer Peso,primerpeso@cce.pr.gov,787 294-0101,0,"{non_profit,for_profit,sole_proprietor}","{1_5,6_25,26_50}","{0_99999,100000_499999,500000_999999,1000000_4900000,5000000_9900000}",{any},any,"{any,student,veteran,minority}","Las empresas interesadas deberán estar certificadas como PYMES por la Compañía de Comercio y Exportación de Puerto Rico y deberán formar parte del Registro Único de Licitadores (RUL) de la Administración de Servicios Generales.

	
¿Quiénes Pueden Participar?

Empresa independiente donde el 51 % de su capital está en manos de sus gerenciales.
Debe estar incorporado o registrado para hacer negocios en Puerto Rico y que el 51 % o más de sus empleados trabajen en Puerto Rico.
Tener menos de 50 empleados a tiempo completo sin incluir trabajadores a tiempo parcial y consultores bajo contratos.
Ingreso bruto no puede exceder los $9.9 millones anuales.",false,"",2014-07-07 23:15:24.372-07,2014-11-26 12:22:55.272-08,"{anything,open_location,open_franchise,train_employees,working_capital,buy_equipment,buy_commercial_property,hire_employees,start_business,export,export_products,export_services,improve_commercial_property,keep_employees,relocate_business,other}",{0},{other},7,7
89,Ley 20-2012: Para fomentar la exportación de servicios,{anywhere_in_pr},750,0001-12-31 16:07:02-07:52:58 BC,De 60 a 90 días,La Ley para Fomentar la Exportación de Servicios (Ley Núm. 20 de 2012) busca convertir a Puerto Rico en un centro internacional de servicios de exportación. Esta poderosa herramienta está disponible para las empresas que actualmente operan en Puerto Rico y para empresas foráneas que opten por establecerse en la Isla para ofrecer sus servicios globalmente desde Puerto Rico. La Ley también beneficia a las personas que ofrecen servicios de promotor para lograr que nuevas empresas proveedoras de servicios establezcan operaciones en Puerto Rico.,Lcda. Elizabeth Aponte,elizabeth.aponte@oeci.pr.gov,787-765-1171,0,{any},{1_5},{any},"{51,52,54,61,81}",any,,"",false,"",2014-09-09 16:35:54.517-07,2014-09-09 16:43:16.383-07,{export},{0},{incentive},18,8
61,Crowdfunding ,{puertoricoandthelatinamericanmarketinandoutoftheus},0,4000-12-30 16:00:00-08,From 30 to 75 days.,"No traditional business plan needed, access to friendly capital, no equity dilution, no money has to be payed back only an offering of a reward in exchange for the money people donate, access to a full community, a news letter to help you rise money, personalise community management throwout the hole campaign, access to media contacts, you can take your money even if you don't reach your funding goal.",Guifre Tort,info@antrocket.com / astrid@antrocket.com / guifre@antrocket.com,(787) 562-3921 / (787) 922-0866 / (787) 294-5556,0,{any},{any},{any},{any},any,{any},"We encourage creativity, innovation, business development, social-economic development, environmental conscience, entrepreneurship, collaboration and solidarity. Children under 16 years of age need an written authorisation from their parents or tutor. Between the prohibited items or subject matter are: No contests, raffles, drugs, pornography, life style support, equity exchange, ventures or co-ventures. For more information on our Terms of Use please visit: http://antrocket.uservoice.com/knowledgebase/articles/214558-terms-of-use",true,(from a 7.75% up to 14% of the total recollected),2014-08-13 21:58:52.87-07,2014-08-13 22:03:03.167-07,{anything},"{1,2,3,4}",{financingthroughcrowddonations},9,9
92,Programa de Incubación INOVA,{caguas},0,2024-09-29 17:00:00-07,3 años,"El programa de incubación de empresas permite fortalecer la creación y desarrollo de una empresa.   El programa permite fortalecer las destrezas empresariales, acceder a un network de empresas similares y programas de apoyo.",Oscar Jimenes ,ojimenez@intecopr.com,787961-2901,3,"{any,non_profit,for_profit,sole_proprietor}",{1_5},{any},{other},any,,"",false,"",2014-09-10 11:01:58.817-07,2014-11-06 11:30:56.004-08,{start_business},{0},{other},8,1
110,Centro de Control de Calidad,{anywhere_in_pr},0,2020-12-30 16:00:00-08,5 a 30 días laborables,Mejoras en calidad; Aumento en Capacidad; Cumplimiento de requisitos de los clientes; Satisfacción al cliente,Zenaida Solis,zenaida.solis@pridco.pr.gov,(787) 758-4747,0,{for_profit},{6_25},{any},"{31-33,other}",any,{any},Empresa tiene que ser promovida por la Compañía de Fomento Industrial de Puerto Rico.,true,variable,2014-09-11 09:18:06.282-07,2014-09-11 09:25:38.109-07,"{other,procesodeevaluacindecalidadyreingenieradesarrollodenormasyprocedimientosdecalidadcapacitacinsobretcnicasyregulacionesso900012008as9100industriaaeroespacialdiseodeproductoseimagencorporativayreglamentacinparaetiquetadodealimentos}",{0},{incentive},17,7
111,Zona Libre de Comercio Exterior,{anywhere_in_pr},0,2020-12-30 16:00:00-08,5 a 90 días laborables,"Retardar el pago de los aranceles federales, y arbitrios estatales; Cero pago de patentes municipales en las exportaciones a países foráneos; 100% de exención en el pago de impuestos en la operación; y 60% de exención en el pago de impuestos a la propiedad inmueble.",Zenaida Solis,zenaida.solis@pridco.pr.gov,(787) 758-4747,0,{for_profit},{6_25},{any},"{31-33,other}",any,,Empresa tiene que ser promovida por la Compañía de Fomento Industrial de Puerto Rico.,true,Variable,2014-09-11 09:23:50.15-07,2014-09-11 09:25:51.673-07,"{other,ahorroseconmicosretardacinoeliminacindearancelesfederalesyexportacinapasesforneoselpagodelosderechosserexento}",{0},{incentive},17,57
